"Kidhome","Teenhome","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Response","Complain","Income_Clean","Age","Education","Marital_Status","Country"
0,0,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,84865,63,"PhD","Single","SP"
0,1,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,61314,56,"Graduation","Married","SP"
1,0,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,21359,52,"Graduation","Single","CA"
0,1,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,66465,69,"PhD","Married","SP"
0,0,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,81698,41,"2n Cycle","Single","SP"
1,0,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,39146,38,"Graduation","Single","SP"
1,1,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,25959,54,"2n Cycle","Divorced","SP"
0,0,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,64260,63,"Graduation","Together","SP"
1,0,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,32300,51,"Graduation","Married","SP"
0,1,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,74806,59,"Master","Married","AUS"
0,1,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,72967,54,"Graduation","Divorced","GER"
0,1,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,48904,64,"Graduation","Single","US"
1,0,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,14796,40,"2n Cycle","Married","GER"
0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,66991,70,"Master","Married","GER"
2,1,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,52195,46,"2n Cycle","Single","SA"
0,0,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,90369,68,"Graduation","Married","SP"
1,0,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,18393,50,"Basic","Married","SP"
1,1,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,47139,72,"Graduation","Single","SP"
0,1,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,38576,51,"Master","Married","IND"
0,1,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,61905,49,"PhD","Together","SA"
0,0,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,83715,62,"Graduation","Married","SA"
0,1,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,60597,60,"Graduation","Married","SP"
0,0,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,6560,42,"Master","Single","SP"
0,1,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,48330,63,"Master","Together","SP"
1,1,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,38236,56,"PhD","Single","SP"
1,0,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,22701,47,"Master","Married","SP"
1,1,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,53367,50,"Master","Divorced","AUS"
1,0,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,34728,38,"Graduation","Together","SP"
0,2,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,63915,68,"Master","Married","AUS"
0,0,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,82504,64,"2n Cycle","Married","IND"
1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,38578,52,"PhD","Single","SP"
1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,38578,52,"PhD","Single","SP"
0,0,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,79174,49,"PhD","Married","CA"
0,1,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,81975,62,"2n Cycle","Divorced","SA"
0,1,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,43263,47,"Master","Married","SP"
1,0,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,27242,54,"Graduation","Single","IND"
1,0,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0,76445,53,"Graduation","Married","SA"
0,0,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,75276,59,"Graduation","Together","SP"
1,1,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,34213,61,"Graduation","Widow","SA"
0,0,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,72335,48,"PhD","Together","SP"
0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,79143,60,"Master","Married","AUS"
0,0,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,27469,77,"Graduation","Married","CA"
0,0,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,68695,55,"Graduation","Together","SP"
0,0,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,68695,55,"Graduation","Together","CA"
0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,0,50388,67,"Graduation","Single","GER"
0,2,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,77622,54,"PhD","Together","SA"
2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,46102,62,"Graduation","Divorced","SP"
1,0,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,31859,44,"2n Cycle","Single","SP"
0,0,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,23830,37,"2n Cycle","Single","SP"
1,1,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,24639,51,"Graduation","Married","AUS"
0,0,3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,1,0,71604,79,"PhD","Together","SP"
1,0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,27255,40,"Graduation","Married","SP"
0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,55375,47,"Graduation","Together","CA"
0,1,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,77037,64,"PhD","Married","SP"
1,1,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,24163,54,"Graduation","Single","SP"
0,0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,69476,55,"PhD","Together","US"
0,1,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,72063,45,"Graduation","Married","GER"
0,1,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,58646,62,"Master","Married","SP"
0,1,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,58646,62,"Master","Married","GER"
1,1,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,0,47570,75,"Master","Widow","US"
0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,80011,44,"Graduation","Married","AUS"
0,1,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,54998,68,"PhD","Single","SP"
0,1,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0,60200,76,"PhD","Single","SP"
0,0,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0,63211,42,"Graduation","Married","SP"
0,1,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,48432,51,"PhD","Single","SA"
0,1,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,0,48432,51,"PhD","YOLO","CA"
0,1,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,48432,51,"PhD","YOLO","IND"
1,1,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,0,62845,75,"Master","Married","SP"
1,1,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1,0,62845,75,"Master","Married","SP"
0,0,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,65220,59,"PhD","Together","GER"
0,0,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,74214,34,"PhD","Married","SP"
0,0,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1,0,96547,44,"2n Cycle","Married","SP"
0,1,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,53863,69,"Graduation","Together","SP"
2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,50447,54,"Graduation","Married","IND"
0,1,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0,37716,71,"Graduation","Married","AUS"
2,0,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,0,45203,42,"Graduation","Together","SA"
1,0,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,37368,49,"Master","Married","SP"
0,1,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,0,67225,69,"Graduation","Married","US"
0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,0,65104,48,"Master","Together","CA"
0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,65104,48,"Master","Together","SP"
0,0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,0,81698,75,"Master","Married","SP"
0,1,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,70566,56,"Graduation","Single","SP"
0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,69096,66,"Graduation","Together","GER"
0,1,4,711,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,0,0,71434,62,"Graduation","Married","SP"
1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,33039,46,"Graduation","Married","SP"
1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,33039,46,"Graduation","Married","CA"
0,0,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,46610,66,"Graduation","Together","SP"
0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,49967,66,"Graduation","Single","CA"
1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,53359,48,"Graduation","Married","US"
1,1,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,49505,53,"Master","Married","SP"
0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,68657,78,"Master","Married","AUS"
0,1,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,72071,70,"Graduation","Divorced","SP"
0,1,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,72071,70,"Graduation","Divorced","CA"
1,0,4,448,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,0,0,59235,57,"Master","Single","IND"
0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,21994,67,"Graduation","Together","AUS"
0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,21994,67,"Graduation","Together","SP"
0,0,4,496,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,0,0,69209,52,"Graduation","Married","CA"
1,0,5,33,4,24,4,2,5,2,3,0,4,7,0,0,0,0,0,0,0,31928,35,"Graduation","Together","IND"
0,0,5,784,48,560,42,176,48,1,4,6,4,3,0,0,1,1,0,1,0,74004,37,"PhD","Single","IND"
0,0,5,10,12,12,25,1,20,1,2,0,3,6,0,0,0,0,0,0,0,30390,37,"2n Cycle","Married","IND"
1,0,5,5,13,14,0,5,31,2,2,1,2,6,1,0,0,0,0,1,0,21355,39,"Graduation","Married","US"
1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,26304,55,"Graduation","Married","GER"
0,0,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,85710,35,"2n Cycle","Married","IND"
0,0,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,1,0,102692,50,"Graduation","Divorced","SA"
0,1,5,493,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,0,58350,53,"Graduation","Single","SP"
1,1,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,0,7500,46,"Graduation","Single","SP"
0,0,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,1,0,18890,40,"Master","Single","SA"
1,0,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,20425,38,"Basic","Married","CA"
1,0,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,20425,38,"Basic","Married","GER"
1,1,5,29,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,41437,67,"PhD","Divorced","SP"
0,1,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,49912,75,"Master","Together","ME"
0,1,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,49912,75,"Master","Together","AUS"
0,1,6,835,73,380,114,73,43,1,6,9,7,2,0,1,0,0,0,0,0,79823,65,"Graduation","Married","AUS"
0,0,6,1296,17,311,45,69,51,1,2,4,10,1,0,1,1,1,1,1,0,85683,70,"Graduation","Divorced","SP"
1,1,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,47025,59,"PhD","Divorced","SP"
0,1,6,760,80,466,17,13,80,1,6,9,5,3,0,0,0,0,0,0,0,68397,48,"PhD","Married","SA"
1,0,6,70,6,69,2,3,3,3,3,1,4,7,0,0,0,0,0,0,0,38175,40,"PhD","Married","SP"
1,1,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,46423,52,"Master","Single","SP"
1,1,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,46423,52,"Master","Single","SP"
1,0,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,30560,48,"Master","Together","SA"
1,0,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,30560,48,"Master","Together","CA"
0,1,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,60152,45,"Graduation","Single","SP"
1,1,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,29672,59,"Graduation","Together","SA"
1,1,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,29672,59,"Graduation","Together","SP"
0,0,6,303,23,751,82,26,191,1,6,5,13,4,0,0,0,0,0,1,0,70321,77,"Graduation","Together","SP"
0,1,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,56181,62,"Graduation","Married","SP"
0,0,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0,24279,34,"Basic","Married","SP"
0,0,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,68462,55,"PhD","Married","SP"
0,1,6,462,61,184,10,53,107,4,7,5,9,6,1,0,0,0,0,1,0,55424,48,"PhD","Married","SP"
0,1,6,376,0,38,11,8,69,5,6,3,6,6,0,0,0,0,0,0,0,49094,51,"Graduation","Married","SP"
0,1,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,0,59184,63,"2n Cycle","Widow","SP"
0,0,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,0,67430,37,"Graduation","Together","GER"
0,1,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,30522,64,"Master","Married","SP"
0,1,7,23,4,5,10,5,23,1,1,0,4,3,0,0,0,0,0,0,0,31878,47,"2n Cycle","Single","SP"
0,0,7,530,117,678,134,44,147,1,4,10,8,1,1,0,0,1,0,1,0,83528,32,"Graduation","Single","SP"
0,0,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,0,90300,45,"Graduation","Together","SP"
0,0,7,852,60,207,78,36,48,2,2,6,10,5,0,0,0,0,0,0,0,68092,46,"Master","Single","SA"
1,1,7,158,0,76,13,7,71,6,4,4,3,5,0,0,0,0,0,0,0,53761,52,"Master","Married","AUS"
1,0,7,384,25,292,130,41,64,3,8,8,6,6,1,0,0,0,0,0,0,52845,51,"Graduation","Married","SP"
1,0,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,0,24027,48,"Graduation","Married","SP"
1,0,7,2,8,11,3,8,21,4,3,2,2,7,0,0,0,0,0,0,0,7500,45,"2n Cycle","Together","IND"
1,1,7,194,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,1,0,42586,69,"Graduation","Together","SP"
1,1,7,194,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,1,0,42586,69,"Graduation","Together","SP"
1,0,7,6,17,16,6,16,42,4,3,1,3,8,0,0,0,0,0,1,0,9722,51,"Basic","Together","SP"
0,0,7,179,21,273,0,21,63,1,6,10,6,5,1,0,1,1,0,1,0,86836,49,"PhD","Married","SP"
1,0,8,1,3,8,2,5,5,1,1,0,2,7,0,0,0,0,0,0,0,30467,52,"Graduation","Married","CA"
0,1,8,216,2,6,0,0,9,2,5,1,4,7,0,0,0,0,0,0,0,54549,72,"PhD","Married","SA"
1,0,8,16,0,23,3,2,10,3,4,1,2,7,0,0,0,0,0,1,0,19444,42,"Graduation","Together","SA"
0,1,8,428,30,214,80,30,61,2,6,5,10,3,0,0,0,0,0,0,0,69245,68,"Master","Together","SA"
0,0,8,1092,37,592,145,37,55,1,5,5,8,3,0,0,0,1,0,1,0,72968,61,"PhD","Divorced","SP"
1,2,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0,0,0,0,0,48686,71,"Graduation","Married","SP"
0,0,8,559,153,503,218,13,181,1,3,9,9,2,0,0,0,1,0,1,0,73687,34,"Graduation","Married","SA"
0,0,8,606,148,228,15,148,22,1,6,8,13,2,0,0,0,0,0,0,0,82716,80,"PhD","Single","CA"
1,0,8,11,5,22,12,5,11,2,3,0,3,7,0,0,0,0,0,0,0,35523,43,"2n Cycle","Married","GER"
1,0,8,588,7,76,110,15,15,2,8,4,9,6,0,0,0,0,0,0,0,60554,49,"PhD","Divorced","SA"
0,1,8,316,58,161,76,51,135,1,6,9,4,5,0,0,0,0,0,1,0,64090,68,"Graduation","Together","SA"
0,1,8,279,83,88,32,14,34,1,4,2,10,3,0,0,0,0,0,0,0,61559,59,"Graduation","Single","SP"
0,0,8,1462,16,128,0,0,160,1,5,3,6,6,0,1,1,0,1,1,0,71670,62,"PhD","Widow","SP"
0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,67680,73,"PhD","Widow","AUS"
0,1,8,277,21,64,62,21,25,2,3,2,10,3,0,0,0,0,0,0,0,54386,43,"Graduation","Married","SP"
0,1,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,0,64108,71,"PhD","Single","AUS"
0,1,8,664,9,240,50,19,57,2,7,7,10,4,0,0,0,0,0,0,0,69702,73,"PhD","Together","SP"
0,1,8,268,11,88,15,3,22,2,6,3,5,5,0,0,0,0,0,0,0,47958,72,"Graduation","Single","SA"
0,1,8,530,142,217,62,9,56,4,7,4,13,5,0,1,0,0,0,0,0,67716,64,"Graduation","Married","CA"
1,1,8,199,33,60,8,3,15,5,5,2,5,8,0,0,0,0,0,1,0,34600,53,"Graduation","Together","SP"
1,1,8,199,33,60,8,3,15,5,5,2,5,8,0,0,0,0,0,1,0,34600,53,"Graduation","Together","SP"
1,1,8,73,57,100,71,15,0,5,6,1,5,9,0,0,0,0,0,1,0,48752,55,"Graduation","Married","SP"
1,0,8,16,5,30,8,7,26,3,3,0,4,8,0,0,0,0,0,0,1,15716,36,"2n Cycle","Married","SA"
0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,1,0,46610,72,"PhD","Divorced","AUS"
0,0,8,587,51,898,247,0,86,1,3,6,7,2,0,0,0,0,0,0,0,74985,47,"Graduation","Married","GER"
0,0,9,56,19,29,2,14,25,1,3,1,3,8,0,0,0,0,0,1,0,45576,79,"PhD","Single","SP"
0,0,9,6,2,3,1,262,3,0,27,0,0,1,0,0,0,0,0,0,0,113734,79,"PhD","Single","SP"
1,0,9,158,11,99,15,11,17,2,3,2,7,3,0,0,0,0,0,0,0,57100,37,"Graduation","Single","SA"
2,0,9,3,2,8,20,0,17,2,2,1,2,7,0,0,0,0,0,0,0,24434,52,"Graduation","Married","IND"
1,0,9,45,3,9,4,4,7,1,1,2,2,6,1,0,0,0,0,1,0,37126,53,"PhD","Married","SP"
1,1,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,0,45160,66,"Graduation","Single","AUS"
1,0,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,33178,47,"Graduation","Together","SP"
0,1,9,508,5,21,7,5,10,4,7,3,7,5,0,1,0,0,0,0,0,64866,74,"Master","Widow","CA"
0,1,9,11,2,7,4,2,2,1,1,0,3,3,0,0,0,0,0,0,0,34176,49,"Master","Together","CA"
1,0,9,234,14,77,19,10,42,2,4,1,8,5,0,0,0,0,0,0,0,50014,56,"Master","Single","SP"
0,0,9,992,24,694,51,19,119,0,5,10,5,1,1,0,1,0,0,0,0,92344,76,"Graduation","Married","AUS"
1,0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,55282,54,"Master","Divorced","SP"
0,1,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,0,48799,61,"PhD","Divorced","SP"
0,0,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,1,0,84169,42,"PhD","Married","SP"
0,0,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,1,0,84169,42,"PhD","Married","SA"
1,0,9,80,1,60,4,6,16,2,5,1,2,9,0,0,0,0,0,1,0,39763,53,"Master","Single","SP"
0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,74165,49,"PhD","Divorced","CA"
1,1,9,392,5,91,28,26,112,8,7,3,7,8,0,0,0,0,0,1,0,42720,59,"Graduation","Single","GER"
0,0,9,388,14,218,91,14,21,1,4,3,13,2,0,0,0,0,0,0,0,65275,80,"Graduation","Married","SP"
